x;y;layer1;layer2;voltage1;voltage2;current
480.98;1304.41;GND;VCC;2.82897;2.82898;-0.00284863
480.98;1304.41;VCC;BOTTOM_LAYER;2.82898;2.82898;-0.00158534
484.997;260.52;TOP_LAYER;GND;0.0119;0.0119;-0
484.997;260.52;GND;VCC;0.0119;0.0119;2.1233e-14
484.997;260.52;VCC;BOTTOM_LAYER;0.0119;0.0119;2.11514e-14
490.095;1869.43;TOP_LAYER;GND;0.00871823;0.0087222;-0.0399157
490.095;1869.43;GND;VCC;0.0087222;0.0087222;-4.83899e-14
490.095;1869.43;VCC;BOTTOM_LAYER;0.0087222;0.0087222;-3.48139e-14
490.568;1934.43;TOP_LAYER;GND;0.00870419;0.00870196;0.0224472
490.568;1934.43;GND;VCC;0.00870196;0.00870196;-4.83899e-14
490.568;1934.43;VCC;BOTTOM_LAYER;0.00870196;0.00870196;-3.48139e-14
508.489;1644.43;TOP_LAYER;GND;2.82904;2.82904;4.45617e-12
508.489;1644.43;GND;VCC;2.82904;2.82904;1.03232e-11
508.489;1644.43;VCC;BOTTOM_LAYER;2.82904;2.82904;-1.33685e-11
529.568;258.432;TOP_LAYER;GND;2.82907;2.82907;1.59175e-08
529.568;258.432;GND;VCC;2.82907;2.82907;1.59187e-08
529.568;258.432;VCC;BOTTOM_LAYER;2.82907;2.82907;1.59219e-08
532.316;189.432;TOP_LAYER;GND;2.82907;2.82907;-1.6388e-07
532.316;189.432;GND;VCC;2.82907;2.82907;-1.63876e-07
532.316;189.432;VCC;BOTTOM_LAYER;2.82907;2.82907;1.05881e-06
532.316;225.432;TOP_LAYER;GND;2.82907;2.82907;1.47958e-07
532.316;225.432;GND;VCC;2.82907;2.82907;1.47962e-07
532.316;225.432;VCC;BOTTOM_LAYER;2.82907;2.82907;-1.07476e-06
548.066;834.432;TOP_LAYER;GND;0.0114702;0.0114696;0.00646129
548.066;834.432;GND;VCC;0.0114696;0.0114724;-0.00220247
548.066;834.432;VCC;BOTTOM_LAYER;0.0114724;0.0114727;-0.00220247
550.099;764.432;TOP_LAYER;GND;0.0114737;0.0114737;-0.000388099
550.099;764.432;GND;VCC;0.0114737;0.0114735;0.000169791
550.099;764.432;VCC;BOTTOM_LAYER;0.0114735;0.0114735;0.000169791
579.277;1455.72;TOP_LAYER;GND;0.0113907;0.0113902;0.00499984
579.277;1455.72;GND;VCC;0.0113902;0.0113902;-6.31757e-14
579.277;1455.72;VCC;BOTTOM_LAYER;0.0113902;0.0113902;-5.22208e-14
590.568;736.505;TOP_LAYER;GND;0.0114788;0.0114795;-0.00756546
590.568;736.505;GND;VCC;0.0114795;0.0114749;0.00355604
590.568;736.505;VCC;BOTTOM_LAYER;0.0114749;0.0114746;0.00355604
590.568;834.432;TOP_LAYER;GND;0.0114709;0.0114708;0.00149227
590.568;834.432;GND;VCC;0.0114708;0.0114727;-0.00152336
590.568;834.432;VCC;BOTTOM_LAYER;0.0114727;0.0114729;-0.00152336
590.568;1023.74;TOP_LAYER;GND;2.82899;2.82899;8.91235e-12
590.568;1023.74;GND;VCC;2.82899;2.82899;9.97908e-12
590.568;1023.74;VCC;BOTTOM_LAYER;2.82899;2.82899;-0
609.15;529.039;TOP_LAYER;GND;0.0115618;0.0115594;0.0244455
609.15;529.039;GND;VCC;0.0115594;0.0115732;-0.0107207
609.15;529.039;VCC;BOTTOM_LAYER;0.0115732;0.0115743;-0.0107207
615.568;2174.43;TOP_LAYER;GND;0.00850322;0.00850322;3.48139e-14
615.568;2174.43;GND;VCC;0.00850322;0.00850322;-4.70458e-14
615.568;2174.43;VCC;BOTTOM_LAYER;0.00850322;0.00850322;-3.48139e-14
624.568;1446.43;TOP_LAYER;GND;2.82898;2.82898;-8.91235e-12
624.568;1446.43;GND;VCC;2.82898;2.82898;-4.81749e-12
624.568;1446.43;VCC;BOTTOM_LAYER;2.82898;2.82898;-1.33685e-11
640.01;1206.93;TOP_LAYER;GND;2.82898;2.82898;2.22809e-11
640.01;1206.93;GND;VCC;2.82898;2.82898;2.06464e-11
640.01;1206.93;VCC;BOTTOM_LAYER;2.82898;2.82898;-1.33685e-11
650.568;529.039;TOP_LAYER;GND;0.0115763;0.0115752;0.0110846
650.568;529.039;GND;VCC;0.0115752;0.0115812;-0.00467083
650.568;529.039;VCC;BOTTOM_LAYER;0.0115812;0.0115817;-0.00467083
665.568;2094.43;TOP_LAYER;GND;0.00854929;0.00854929;3.48139e-14
665.568;2094.43;GND;VCC;0.00854929;0.00854505;0.00328544
665.568;2094.43;VCC;BOTTOM_LAYER;0.00854505;0.00854472;0.00328544
670.82;954.585;TOP_LAYER;GND;0.0114492;0.0114492;-1.74069e-14
670.82;954.585;GND;VCC;0.0114492;0.0114492;-1.34417e-15
670.82;954.585;VCC;BOTTOM_LAYER;0.0114492;0.0114492;1.74069e-14
675.568;2479.43;TOP_LAYER;GND;0.00824311;0.00824311;5.22208e-14
675.568;2479.43;GND;VCC;0.00824311;0.00824311;-1.613e-14
675.568;2479.43;VCC;BOTTOM_LAYER;0.00824311;0.00824311;-0
688.596;669.432;TOP_LAYER;GND;0.0115148;0.0115148;6.96277e-14
688.596;669.432;GND;VCC;0.0115148;0.0115148;-6.31757e-14
688.596;669.432;VCC;BOTTOM_LAYER;0.0115148;0.0115148;-5.22208e-14
700.568;539.432;TOP_LAYER;GND;0.0115916;0.0115888;0.027855
700.568;539.432;GND;VCC;0.0115888;0.0115904;-0.00119884
700.568;539.432;VCC;BOTTOM_LAYER;0.0115904;0.0115905;-0.00119884
705.568;2094.43;TOP_LAYER;GND;0.00854139;0.00854139;3.48139e-14
705.568;2094.43;GND;VCC;0.00854139;0.00853928;0.00163843
705.568;2094.43;VCC;BOTTOM_LAYER;0.00853928;0.00853911;0.00163843
740.497;2094.43;TOP_LAYER;GND;0.00852834;0.00852834;3.48139e-14
740.497;2094.43;GND;VCC;0.00852834;0.00853834;-0.00774957
740.497;2094.43;VCC;BOTTOM_LAYER;0.00853834;0.00853911;-0.00774957
745.568;539.432;TOP_LAYER;GND;0.0116123;0.0116187;-0.0633852
745.568;539.432;GND;VCC;0.0116187;0.0115972;0.0165903
745.568;539.432;VCC;BOTTOM_LAYER;0.0115972;0.0115956;0.0165903
760.568;1974.43;TOP_LAYER;GND;2.82904;2.82904;1.33685e-11
760.568;1974.43;GND;VCC;2.82904;2.82904;1.54848e-11
760.568;1974.43;VCC;BOTTOM_LAYER;2.82904;2.82904;-1.33685e-11
760.568;2044.43;TOP_LAYER;GND;0.00854586;0.00854586;3.48139e-14
760.568;2044.43;GND;VCC;0.00854586;0.00854222;0.00282571
760.568;2044.43;VCC;BOTTOM_LAYER;0.00854222;0.00854194;0.00282571
768.568;1908.43;TOP_LAYER;GND;2.82904;2.82904;-0
768.568;1908.43;GND;VCC;2.82904;2.82904;5.5057e-12
768.568;1908.43;VCC;BOTTOM_LAYER;2.82904;2.82904;-1.78247e-11
801.858;1665.72;TOP_LAYER;GND;0.00913703;0.00913703;-0
801.858;1665.72;GND;VCC;0.00913703;0.00913703;-5.51108e-14
801.858;1665.72;VCC;BOTTOM_LAYER;0.00913703;0.00913703;-3.48139e-14
857.667;137.333;TOP_LAYER;GND;2.82907;2.82907;2.08042e-11
857.667;137.333;GND;VCC;2.82907;2.82907;2.24911e-11
857.667;137.333;VCC;BOTTOM_LAYER;2.82907;2.82907;-0
853.73;1355.02;TOP_LAYER;GND;2.82905;2.82905;-5.41475e-12
853.73;1355.02;GND;VCC;2.82905;2.82905;-5.64472e-12
853.73;1355.02;VCC;BOTTOM_LAYER;2.82905;2.82905;-2.70738e-12
864.246;1847.83;TOP_LAYER;GND;0.00883761;0.00883761;3.48139e-14
864.246;1847.83;GND;VCC;0.00883761;0.00883761;-3.226e-14
864.246;1847.83;VCC;BOTTOM_LAYER;0.00883761;0.00883761;-1.74069e-14
865.568;1769.43;TOP_LAYER;GND;0.00896676;0.00896676;5.22208e-14
865.568;1769.43;GND;VCC;0.00896676;0.00896676;-4.03249e-14
865.568;1769.43;VCC;BOTTOM_LAYER;0.00896676;0.00896676;-3.48139e-14
890.103;1556.75;TOP_LAYER;GND;0.00939441;0.00939441;-1.74069e-14
890.103;1556.75;GND;VCC;0.00939441;0.00939441;-5.24224e-14
890.103;1556.75;VCC;BOTTOM_LAYER;0.00939441;0.00939441;-3.48139e-14
906.644;1365.07;TOP_LAYER;GND;0.0100468;0.0100468;5.22208e-14
906.644;1365.07;GND;VCC;0.0100468;0.0100468;1.88183e-14
906.644;1365.07;VCC;BOTTOM_LAYER;0.0100468;0.0100468;1.74069e-14
910.568;665.432;TOP_LAYER;GND;0.0116143;0.0116143;5.22208e-14
910.568;665.432;GND;VCC;0.0116143;0.0116143;-4.16691e-14
910.568;665.432;VCC;BOTTOM_LAYER;0.0116143;0.0116143;-3.48139e-14
933.467;1074.43;TOP_LAYER;GND;0.0110011;0.0110011;1.74069e-14
933.467;1074.43;GND;VCC;0.0110011;0.0110011;-6.04874e-14
933.467;1074.43;VCC;BOTTOM_LAYER;0.0110011;0.0110011;-5.22208e-14
957.667;137.333;TOP_LAYER;GND;0.0119929;0.0119929;1.219e-13
957.667;137.333;GND;VCC;0.0119929;0.0119929;-5.02033e-14
957.667;137.333;VCC;BOTTOM_LAYER;0.0119929;0.0119929;-4.06333e-14
1005.57;1114.43;TOP_LAYER;GND;0.0109568;0.0109568;5.22208e-14
1005.57;1114.43;GND;VCC;0.0109568;0.0109568;-6.04874e-14
1005.57;1114.43;VCC;BOTTOM_LAYER;0.0109568;0.0109568;-5.22208e-14
1039.35;860.501;TOP_LAYER;GND;0.0114126;0.0114126;5.22208e-14
1039.35;860.501;GND;VCC;0.0114126;0.0114026;0.00775875
1039.35;860.501;VCC;BOTTOM_LAYER;0.0114026;0.0114018;0.00775875
1039.35;895.065;TOP_LAYER;GND;0.0113688;0.0113688;5.22208e-14
1039.35;895.065;GND;VCC;0.0113688;0.0113994;-0.0237064
1039.35;895.065;VCC;BOTTOM_LAYER;0.0113994;0.0114018;-0.0237064
1037.26;998.371;TOP_LAYER;GND;2.82906;2.82906;2.70738e-12
1037.26;998.371;GND;VCC;2.82906;2.82906;2.92689e-12
1037.26;998.371;VCC;BOTTOM_LAYER;2.82906;2.82906;-5.41475e-12
1037.61;565.3;TOP_LAYER;GND;2.82907;2.82907;2.70738e-12
1037.61;565.3;GND;VCC;2.82907;2.82907;2.50876e-12
1037.61;565.3;VCC;BOTTOM_LAYER;2.82907;2.82907;8.12213e-12
1052.53;1964.6;TOP_LAYER;GND;0.00858502;0.00858502;-0
1052.53;1964.6;GND;VCC;0.00858502;0.00858502;3.10254e-15
1052.53;1964.6;VCC;BOTTOM_LAYER;0.00858502;0.00858502;-0
1085.57;895.065;TOP_LAYER;GND;0.011385;0.011385;6.96277e-14
1085.57;895.065;GND;VCC;0.011385;0.0114045;-0.0151035
1085.57;895.065;VCC;BOTTOM_LAYER;0.0114045;0.011406;-0.0151035
1088.42;852.082;TOP_LAYER;GND;0.0114322;0.0114322;6.96277e-14
1088.42;852.082;GND;VCC;0.0114322;0.0114123;0.0153816
1088.42;852.082;VCC;BOTTOM_LAYER;0.0114123;0.0114108;0.0153816
1100.57;1335.48;TOP_LAYER;GND;0.0102584;0.0102584;6.96277e-14
1100.57;1335.48;GND;VCC;0.0102584;0.0102584;-5.77991e-14
1100.57;1335.48;VCC;BOTTOM_LAYER;0.0102584;0.0102584;-3.48139e-14
1121.57;686.432;TOP_LAYER;GND;0.0117051;0.0117051;5.22208e-14
1121.57;686.432;GND;VCC;0.0117051;0.0117051;-6.45199e-14
1121.57;686.432;VCC;BOTTOM_LAYER;0.0117051;0.0117051;-5.22208e-14
1133.48;1210.89;TOP_LAYER;GND;0.0104685;0.0104685;2.11514e-14
1133.48;1210.89;GND;VCC;0.0104685;0.0104685;2.04164e-14
1133.48;1210.89;VCC;BOTTOM_LAYER;0.0104685;0.0104685;2.11514e-14
1155.57;2089.43;TOP_LAYER;GND;0.00828814;0.00829483;-0.0670916
1155.57;2089.43;GND;VCC;0.00829483;0.00827728;0.0135972
1155.57;2089.43;VCC;BOTTOM_LAYER;0.00827728;0.00827592;0.0135972
1155.57;2129.43;TOP_LAYER;GND;0.00825754;0.00825085;0.0670916
1155.57;2129.43;GND;VCC;0.00825085;0.0082684;-0.0135972
1155.57;2129.43;VCC;BOTTOM_LAYER;0.0082684;0.00826976;-0.0135972
1155.37;1011.52;TOP_LAYER;GND;2.82906;2.82906;-0.000137324
1155.37;1011.52;GND;VCC;2.82906;2.82906;-0.000137324
1155.37;1011.52;VCC;BOTTOM_LAYER;2.82906;2.82906;-2.70738e-12
1158.2;1211.43;TOP_LAYER;GND;2.82906;2.82906;0.000137324
1158.2;1211.43;GND;VCC;2.82906;2.82906;0.000137324
1158.2;1211.43;VCC;BOTTOM_LAYER;2.82906;2.82906;-8.12213e-12
1195.57;2394.43;TOP_LAYER;GND;0.00754705;0.00755531;-0.0828426
1195.57;2394.43;GND;VCC;0.00755531;0.00753722;0.0140127
1195.57;2394.43;VCC;BOTTOM_LAYER;0.00753722;0.00753583;0.0140127
1195.57;2444.43;TOP_LAYER;GND;0.00753053;0.00752733;0.0321123
1195.57;2444.43;GND;VCC;0.00752733;0.00753284;-0.00426743
1195.57;2444.43;VCC;BOTTOM_LAYER;0.00753284;0.00753326;-0.00426743
1205.57;902.432;TOP_LAYER;GND;0.0114241;0.0114241;5.22208e-14
1205.57;902.432;GND;VCC;0.0114241;0.0114234;0.000579015
1205.57;902.432;VCC;BOTTOM_LAYER;0.0114234;0.0114233;0.000579015
1230.57;1659.43;TOP_LAYER;GND;0.00941859;0.00942393;-0.053597
1230.57;1659.43;GND;VCC;0.00942393;0.00940898;0.0115877
1230.57;1659.43;VCC;BOTTOM_LAYER;0.00940898;0.00940782;0.0115877
1230.57;1699.43;TOP_LAYER;GND;0.00938616;0.00937694;0.0925704
1230.57;1699.43;GND;VCC;0.00937694;0.0093986;-0.0167852
1230.57;1699.43;VCC;BOTTOM_LAYER;0.0093986;0.00940027;-0.0167852
1233.48;1169.98;TOP_LAYER;GND;0.0109193;0.0109193;-2.11514e-14
1233.48;1169.98;GND;VCC;0.0109193;0.0109193;2.20497e-14
1233.48;1169.98;VCC;BOTTOM_LAYER;0.0109193;0.0109193;2.11514e-14
1235.57;2414.43;TOP_LAYER;GND;0.00752293;0.00751788;0.0507304
1235.57;2414.43;GND;VCC;0.00751788;0.00753045;-0.00974532
1235.57;2414.43;VCC;BOTTOM_LAYER;0.00753045;0.00753142;-0.00974532
1240.57;1948.66;TOP_LAYER;GND;0.00866589;0.00866589;3.48139e-14
1240.57;1948.66;GND;VCC;0.00866589;0.00866589;-4.70458e-14
1240.57;1948.66;VCC;BOTTOM_LAYER;0.00866589;0.00866589;-5.22208e-14
1244.93;889.432;TOP_LAYER;GND;0.011454;0.011454;6.96277e-14
1244.93;889.432;GND;VCC;0.011454;0.0114345;0.0150906
1244.93;889.432;VCC;BOTTOM_LAYER;0.0114345;0.011433;0.0150906
1274.95;1480.39;TOP_LAYER;GND;0.00989368;0.00989368;8.70347e-14
1274.95;1480.39;GND;VCC;0.00989368;0.00989368;-5.37666e-14
1274.95;1480.39;VCC;BOTTOM_LAYER;0.00989368;0.00989368;-5.22208e-14
1275.57;1659.43;TOP_LAYER;GND;0.00942702;0.0094344;-0.0740862
1275.57;1659.43;GND;VCC;0.0094344;0.0094118;0.0175112
1275.57;1659.43;VCC;BOTTOM_LAYER;0.0094118;0.00941006;0.0175112
1275.57;1699.43;TOP_LAYER;GND;0.00939163;0.00938442;0.072412
1275.57;1699.43;GND;VCC;0.00938442;0.00940031;-0.0123138
1275.57;1699.43;VCC;BOTTOM_LAYER;0.00940031;0.00940153;-0.0123138
1289.94;2168.33;TOP_LAYER;GND;2.82901;2.82901;-0.00895183
1289.94;2168.33;GND;VCC;2.82901;2.82902;-0.00895183
1289.94;2168.33;VCC;BOTTOM_LAYER;2.82902;2.82902;9.11065e-05
1322.63;1816.52;TOP_LAYER;GND;2.82894;2.82895;-0.0299969
1322.63;1816.52;GND;VCC;2.82895;2.82901;-0.0299969
1322.63;1816.52;VCC;BOTTOM_LAYER;2.82901;2.82901;2.70738e-12
1328.48;1051.52;TOP_LAYER;GND;2.82907;2.82907;-0
1328.48;1051.52;GND;VCC;2.82907;2.82907;-8.36255e-13
1328.48;1051.52;VCC;BOTTOM_LAYER;2.82907;2.82907;-0
